ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"101.51.105.167","elite","AS23969","TH","TOT Public Company Limited","150","TOT Public Company Limited","4145","socks4","1217","1","2023-01-18T20:08:49.905Z","56","453","810"
"206.72.206.45","elite","AS19318","US","Interserver, Inc","73","Interserver, Inc","1080","socks5","1231","1","2023-01-18T20:08:49.904Z","100","798","800"
"177.105.68.162","elite","AS262637","BR","Netprimus Tecnologia Ltda","192","Netprimus Tecnologia Ltda","4153","socks4","1358","1","2023-01-18T20:08:49.883Z","100","781","782"
"50.96.204.220","elite","AS7029","US","Windstream Communications LLC","110","Windstream Communications LLC","18351","socks4","1319","6","2023-01-18T20:08:49.056Z","100","792","795"
"80.26.111.141","elite","AS3352","ES","TDENET (Red de servicios IP)","37","N/A","3000","socks4","1275","1","2023-01-18T20:08:49.057Z","99","855","861"
"121.101.186.181","elite","AS38785","ID","BAGUSNET","214","N/A","43296","socks4","1282","1","2023-01-18T20:08:49.038Z","93","784","845"
"177.64.31.243","elite","AS28573","BR","Claro NXT Telecomunicacoes Ltda","243","Claro NXT Telecomunicacoes Ltda","5678","socks4","1234","1","2023-01-18T20:08:49.472Z","99","859","864"
"185.158.114.14","elite","AS44812","RU","IpServer","47","IT Expert LLC","38007","socks4","1298","1","2023-01-18T20:08:49.056Z","100","824","825"
"103.214.156.14","elite","AS135339","BD","Fuad Muhammad Shorfuddin","175","N/A","5678","socks4","1362","1","2023-01-18T20:08:49.035Z","90","775","859"
"107.173.209.7","elite","AS36352","US","ColoCrossing","87","Hudson Valley Host","80","socks4","1350","1","2023-01-18T20:08:49.053Z","100","821","821"
"195.158.223.130","elite","AS43201","UA","Telematika LLC","87","Torgovyi dom Mashinostroitelnye zavody LLC","4153","socks4","1382","1","2023-01-18T20:08:49.883Z","99","854","863"
